,strategy,benchmark
2024-07-10,94652.7765595407,97457.28117439013
2024-07-11,94744.6091441166,96417.80537276457
2024-07-12,96090.96003832962,97213.00180065513
2024-07-15,94697.23314093411,96428.17107983654
2024-07-16,95165.27227036936,96285.3487016693
2024-07-17,93976.93205456814,94128.16201909495
2024-07-18,92066.23445198663,93574.62648540501
2024-07-19,93366.26891159215,94144.46035936041
2024-07-22,95280.13683945364,95761.92910455652
2024-07-23,93914.17242809024,95152.25582977166
2024-07-24,93303.69628882993,93364.73829083567
2024-07-25,92194.86178909907,92937.84104331897
2024-07-26,92082.55134338187,93304.66872434311
2024-07-29,90871.17700129536,92817.94365998823
2024-07-30,90370.08858967661,91899.1791629905
2024-07-31,93253.47055748824,95066.8048321295
2024-08-01,93223.48097931567,94853.11107476077
2024-08-02,92823.65245312214,94243.68242032103
2024-08-05,91816.0771475795,93176.89838663393
2024-08-06,93114.95972230904,93706.6881896519
2024-08-07,93394.72059129753,93870.25937762861
2024-08-08,94932.06266223834,95115.19034486229
2024-08-09,94057.6385256327,94389.17406634883
2024-08-12,94057.81243831047,94741.1577931916
2024-08-13,95024.67212913497,97130.65634955671
2024-08-14,95988.18767560503,97332.65577532256
2024-08-15,96375.70376935136,98401.99245418193
2024-08-16,95403.144097616,98002.45384533043
2024-08-19,95963.1672323426,98781.25752532906
2024-08-20,96002.2751879135,98250.63123707409
2024-08-21,94982.73165037773,98674.03779373554
2024-08-22,94771.96084078874,97739.90867020747
2024-08-23,95382.05418867708,99184.70166083059
2024-08-26,95067.21696447408,97906.39308963699
2024-08-27,93423.24057560651,97562.17883578678
2024-08-28,95039.27233597975,97905.73020509463
2024-08-29,97018.73157282222,97603.28361550215
2024-08-30,97176.72156021821,98154.46030373803
2024-09-02,99336.20758224803,100676.4561524926
2024-09-03,97843.91759938782,97542.49983294962
2024-09-04,99624.16054208623,97548.67772854026
2024-09-05,98568.32294295015,97744.87554877304
2024-09-06,97587.87636010052,95968.12921633433
2024-09-09,97079.05801948608,96694.42844900435
2024-09-10,96690.297667911,96978.62716325896
2024-09-11,97531.59171845573,99222.14596548093
2024-09-12,98731.8243039559,100098.22900696327
2024-09-13,97113.96442039074,99567.35332085693
2024-09-16,97114.28295974231,98572.10766970972
2024-09-17,97618.737727604,99074.97378472968
2024-09-18,97953.11205019016,99183.8659803575
2024-09-19,99044.22753511024,100714.05546442159
2024-09-20,98012.9914544886,100151.34491132556
2024-09-23,99042.25577996728,100649.528229466
2024-09-24,100043.70550673972,102566.6600326972
2024-09-25,98981.00143800814,101998.69769627805
2024-09-26,99032.358270036,102749.87741132893
2024-09-27,98489.32796245026,101294.7056545097
2024-09-30,98373.74319738512,101016.38193465215
2024-10-01,100368.14332633847,102308.87427658055
2024-10-02,98847.92337082546,101901.11540167211
2024-10-03,96321.79498424419,101384.27993186397
2024-10-04,98506.20727307121,103019.89420886699
