,strategy,benchmark
2024-05-06,80871.72652710891,89110.47900818277
2024-05-07,80278.72822786219,88531.10255118337
2024-05-08,80489.93781527641,88306.39597414393
2024-05-09,81602.60079756044,89059.7819453006
2024-05-10,81347.5739366615,88984.78963220111
2024-05-13,81720.66192260484,89048.43945691538
2024-05-14,81209.12226538722,88714.77513671284
2024-05-15,80899.26090051323,89660.35002996853
2024-05-16,80802.65802056367,89640.08371622126
2024-05-17,80311.53877089338,89451.7543761686
2024-05-20,80448.6575685115,89564.14698399467
2024-05-21,79594.58461856293,88773.50165602332
2024-05-22,79141.9122496978,88629.41883522694
2024-05-23,78871.83204090422,88988.35750206826
2024-05-24,78495.39547550169,88527.51620359652
2024-05-27,78417.25781218157,88620.93148526424
2024-05-28,77668.95399372594,88836.18379646118
2024-05-29,77877.22984892206,89272.4181785121
2024-05-30,78417.09199834248,89405.60014680112
2024-05-31,79725.65344874459,89303.53163167526
2024-06-03,76856.51649576625,87543.14157129465
2024-06-04,79367.13550878648,91041.35111310695
2024-06-05,81050.10710053885,93273.9878288851
2024-06-06,80966.51030027491,92785.43783501133
2024-06-07,78623.67936719622,91376.33715422318
2024-06-10,79050.16332155619,92683.26822040361
2024-06-11,78957.49749719152,93262.33766510173
2024-06-12,79434.49350833806,93817.49614866065
2024-06-13,79278.15803088469,93995.86622936356
2024-06-14,78675.20775506362,93460.48461937044
2024-06-17,78990.31057339365,93509.903905221
2024-06-18,79633.3501256691,94917.9156211895
2024-06-19,79457.78818799248,94944.338556164
2024-06-20,79863.46384515808,94582.1798144174
2024-06-21,78881.06806680217,93324.06642227307
2024-06-24,78969.11085888951,91687.3955993275
2024-06-25,78931.40599940637,92164.5790278088
2024-06-26,78745.78443890558,92460.009756948
2024-06-27,79292.74557101967,92617.52530052197
2024-06-28,79415.13935624524,92624.74649663692
2024-07-01,80793.79570727664,94954.24501386461
2024-07-02,79785.36403399523,93899.14485109714
2024-07-03,80858.30795218698,95029.47518932977
2024-07-04,80484.26057016179,94966.60054756566
2024-07-05,80463.78416302339,94426.26727912611
2024-07-08,80816.52653072172,95397.64543080123
2024-07-09,81154.81992520599,95823.72438612241
2024-07-10,83073.58271195118,97457.27964468907
2024-07-11,83447.70474746701,96417.80542973486
2024-07-12,83817.92700253626,97213.00176788207
2024-07-15,82975.42701587695,96428.17231805215
2024-07-16,83808.08841368006,96285.35165536139
2024-07-17,81997.90260795849,94128.16244693067
2024-07-18,81316.38277103344,93574.62804687882
2024-07-19,81514.98297221411,94144.46106262413
2024-07-22,83342.10862398357,95761.93159516982
2024-07-23,83273.187962172,95152.25720875704
2024-07-24,82175.73458168012,93364.74008665077
2024-07-25,82577.75101754621,92937.84356334452
2024-07-26,82711.97016674705,93304.67038076157
2024-07-29,82239.56270875777,92817.94699697178
2024-07-30,81589.86144266547,91899.1799166328
2024-07-31,83308.52210478816,95066.8072139207
2024-08-01,84321.77255588434,94853.11061598547
2024-08-02,83869.71568235202,94243.68530835853
2024-08-05,84159.28749970667,93176.90164810565
2024-08-06,85461.12649963012,93706.69039570575
2024-08-07,85779.35029853921,93870.26276340184
2024-08-08,86001.1025466739,95115.19364322632
2024-08-09,85688.54324597406,94389.17488139452
2024-08-12,85511.05466795806,94741.15972096994
2024-08-13,86299.71222596586,97130.65763992416
2024-08-14,86780.13612741505,97332.65572997893
2024-08-15,88353.20571266288,98401.99164155487
2024-08-16,87589.36366606838,98002.45813983194
2024-08-19,87456.77506707514,98781.25989202992
2024-08-20,87503.43256012238,98250.63318537746
2024-08-21,86242.4817183446,98674.04214480381
2024-08-22,85183.83197052412,97739.91183358403
2024-08-23,85430.51140350912,99184.70374165621
2024-08-26,84914.21182887345,97906.39364165255
2024-08-27,83824.59551957,97562.1811497711
2024-08-28,84126.9057592888,97905.73000119776
2024-08-29,85495.07212985824,97603.28555861603
2024-08-30,85622.75745514166,98154.46331120917
2024-09-02,88219.3302391255,100676.45937774809
2024-09-03,87399.91638438009,97542.50217400746
2024-09-04,87514.18764074944,97548.6790098187
2024-09-05,87580.68547513538,97744.87578696765
2024-09-06,86374.45634215642,95968.13106524796
2024-09-09,86085.0947689104,96694.42710660973
2024-09-10,85724.13987190553,96978.62823132475
